codigo,clase,stock_inicial,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,stock,probabilidad_agotamiento
9264.0,3,0,0.0,0,0,0,0.0,1,0.0
791429.0,1,24,1.0,1,1,0,0.0139,20,0.0
791215.0,1,21,1.0,1,1,0,0.0278,6,0.0
165722.0,1,14,1.0,1,1,0,0.0417,14,0.0
623043.0,1,19,0.0,0,0,1,0.0139,19,0.0
616362.0,1,27,1.0,1,1,0,0.0139,23,0.0
616499.0,1,22,1.0,1,1,1,0.0278,12,0.0
788432.0,1,27,1.0,1,1,0,0.0278,18,0.0
168207.0,1,17,3.0,3,3,0,0.0139,14,0.0
616771.0,1,40,1.0,1,1,1,0.0417,22,0.0
778254.0,1,30,1.0,1,1,1,0.0417,15,0.0
209411.0,1,138,5.0,5,5,0,0.0139,123,0.0
621562.0,1,11,1.0,1,1,0,0.0417,12,0.0
791388.0,1,23,1.0,1,1,0,0.0278,15,0.0
780068.0,1,27,1.0,1,1,0,0.0139,21,0.0
166664.0,1,15,1.0,1,1,0,0.0278,6,0.0
169270.0,1,17,1.0,1,1,0,0.0139,12,0.0
616682.0,1,44,1.0,1,1,1,0.0417,29,0.0
623428.0,1,38,1.0,1,1,0,0.0278,26,0.0
788387.0,1,31,1.0,1,1,0,0.0139,26,0.0
616646.0,1,23,1.0,1,1,1,0.0417,10,0.0
167753.0,1,30,1.0,1,1,17,0.0278,22,0.0
7532.0,1,25,1.0,1,1,0,0.0139,20,0.0
616443.0,1,39,1.0,1,1,0,0.0139,32,0.0
165472.0,1,31,1.0,1,1,0,0.0278,24,0.0
786733.0,1,23,1.0,1,1,0,0.0278,5,0.0
168545.0,1,15,1.0,1,1,0,0.0139,11,0.0
165780.0,1,22,1.0,1,1,1,0.0417,8,0.0
168383.0,1,14,1.0,1,1,1,0.0278,6,0.0
791442.0,1,18,1.0,1,1,1,0.0417,8,0.0
167798.0,1,14,1.0,1,1,0,0.0139,10,0.0
788025.0,1,15,1.0,1,1,0,0.0278,5,0.0
791226.0,1,19,1.0,1,1,0,0.0139,14,0.0
786271.0,1,26,1.0,1,1,0,0.0278,19,0.0
781646.0,1,17,1.0,1,1,0,0.0139,9,0.0
612002.0,1,33,1.0,1,1,1,0.0417,21,0.0
188673.0,1,23,1.0,1,1,0,0.0139,17,0.0
351774.0,1,4039,160.0,20,300,4234,0.0417,1620,0.0
611634.0,1,15,1.0,1,1,0,0.0139,10,0.0
778658.0,1,50,1.0,1,1,25,0.0278,40,0.0
788228.0,2,9,1.0,1,1,0,0.0556,8,0.0
4218215.0,3,0,0.0,0,0,0,0.0,1,0.0
899832.0,3,0,0.0,0,0,0,0.0,1,0.0
165436.0,3,19,0.0,0,0,0,0.0,19,0.0
782283.0,3,0,0.0,0,0,0,0.0,1,0.0
4219630.0,3,0,0.0,0,0,0,0.0,1,0.0
931582.0,3,0,0.0,0,0,0,0.0,1,0.0
792032.0,3,0,0.0,0,0,0,0.0,1,0.0
936004.0,3,0,0.0,0,0,0,0.0,1,0.0
778138.0,2,29,1.0,1,1,4,0.0556,10,0.0
167717.0,2,40,1.0,1,1,18,0.0833,21,0.0
7730.0,2,66,1.0,1,1,18,0.0833,32,0.0
4214232.0,3,0,0.0,0,0,0,0.0,1,0.0
4217344.0,3,0,0.0,0,0,0,0.0,1,0.0
790224.0,3,0,0.0,0,0,0,0.0,1,0.0
936466.0,3,0,0.0,0,0,0,0.0,1,0.0
4218100.0,3,0,0.0,0,0,0,0.0,1,0.0
791681.0,3,27,0.0,0,0,0,0.0,27,0.0
909207.0,3,0,0.0,0,0,0,0.0,1,0.0
790021.0,3,0,0.0,0,0,0,0.0,1,0.0
188447.0,1,43,1.0,1,1,0,0.0139,36,0.0
781928.0,1,25,1.0,1,1,0,0.0139,20,0.0
621502.0,1,15,1.0,1,1,0,0.0139,11,0.0
168350.0,1,23,1.0,1,1,9,0.0278,12,0.0
778952.0,3,0,0.0,0,0,0,0.0,1,0.0
781756.0,3,0,0.0,0,0,0,0.0,1,0.0
901949.0,3,0,0.0,0,0,0,0.0,1,0.0
903674.0,3,0,0.0,0,0,0,0.0,1,0.0
4213342.0,3,0,0.0,0,0,0,0.0,1,0.0
169656.0,3,21,0.0,0,0,0,0.0,21,0.0
781128.0,3,0,0.0,0,0,0,0.0,1,0.0
