codigo,fecha,stock_actual,agotado_30d,clase,stock_inicial,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,probabilidad_agotamiento
788288.0,2026-12-01,6,1,2,3,1.12,1,2,1,0.1389,0.5131562833952295
622725.0,2026-12-01,25,1,0,31,2.9,1,17,12,0.5278,0.9923440758721703
165780.0,2026-12-01,6,0,1,22,1.0,1,1,1,0.0417,0.0
622729.0,2026-12-01,0,1,0,8,2.18,1,6,2,0.3056,0.5520519412008772
788287.0,2026-12-01,0,1,2,5,2.0,1,4,2,0.1806,0.48292458488162276
622797.0,2026-12-01,0,0,0,68,2.03,1,9,14,0.5556,0.12749573317351534
622856.0,2026-12-01,7,1,0,12,1.6,1,7,4,0.3056,0.9762058981244521
168383.0,2026-12-01,7,0,1,14,1.0,1,1,1,0.0278,1.5290519877675842e-05
788283.0,2026-12-01,15,0,1,23,1.5,1,2,0,0.0278,0.00015647420621124297
788228.0,2026-12-01,0,0,2,9,1.0,1,1,0,0.0556,0.0
622863.0,2026-12-01,0,0,0,16,1.46,1,3,6,0.2361,0.010494069220877646
622877.0,2026-12-01,5,0,2,5,1.6,1,4,1,0.0833,0.7950415507262174
788187.0,2026-12-01,11,0,2,18,1.5,1,2,2,0.0833,0.004632337527666001
622941.0,2026-12-01,28,0,0,29,1.4,1,2,4,0.2361,0.03625392778866518
622984.0,2026-12-01,16,0,0,12,1.38,1,6,3,0.2361,0.7930606530136486
168350.0,2026-12-01,12,0,1,23,1.0,1,1,9,0.0278,0.0
165781.0,2026-12-01,11,0,1,23,2.0,2,2,2,0.0278,0.00531834571783189
788154.0,2026-12-01,0,0,2,28,1.4,1,2,0,0.0694,0.4108526637052152
622987.0,2026-12-01,15,0,0,26,1.08,1,2,1,0.25,0.5375942540371379
788150.0,2026-12-01,3,0,2,27,1.0,1,1,1,0.0556,0.1558576230852826
1122.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
623006.0,2026-12-01,0,0,2,13,1.4,1,2,2,0.0972,0.02591354401003363
623043.0,2026-12-01,19,0,1,19,0.0,0,0,1,0.0139,0.0
204799.0,2026-12-01,1076,0,1,1110,2.0,2,2,2,0.0417,0.0016369849658720709
616202.0,2026-12-01,25,0,2,23,1.5,1,3,1,0.1528,0.006627533331763724
6630.0,2026-12-01,53,0,0,135,1.86,1,4,17,0.25,0.00414084673331289
926773.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
926591.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
4216550.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
169546.0,2026-12-01,11,0,1,16,1.0,1,1,0,0.0139,0.0
165078.0,2026-12-01,13,0,2,19,1.0,1,1,1,0.0694,1.0570824524312897e-05
206293.0,2026-12-01,4,0,1,4,0.0,0,0,2,0.0278,0.0
4216849.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
9264.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
4217088.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
4217218.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
925670.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
4217274.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
169516.0,2026-12-01,10,0,2,13,1.0,1,1,1,0.1111,0.0015142547418249502
925652.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
4217344.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
922152.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
4217999.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
4218016.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
