codigo,clase,stock_inicial,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,stock,probabilidad_agotamiento
933924.0,3,0,0.0,0,0,0,0.0,1,0.0
14425.0,3,11,0.0,0,0,0,0.0,11,0.0
4212272.0,3,0,0.0,0,0,0,0.0,1,0.0
786733.0,1,23,1.0,1,1,0,0.0278,15,0.0
168545.0,1,15,1.0,1,1,0,0.0139,13,0.0
788025.0,1,15,1.0,1,1,0,0.0278,4,0.0
791226.0,1,19,1.0,1,1,0,0.0139,16,0.0
167798.0,1,14,1.0,1,1,0,0.0139,12,0.0
209387.0,1,843,6.0,2,10,0,0.0417,727,0.0
778506.0,3,0,0.0,0,0,0,0.0,1,0.0
169144.0,3,0,0.0,0,0,0,0.0,1,0.0
1122.0,3,0,0.0,0,0,0,0.0,1,0.0
902600.0,3,0,0.0,0,0,0,0.0,1,0.0
935181.0,3,0,0.0,0,0,0,0.0,1,0.0
4217274.0,3,0,0.0,0,0,0,0.0,1,0.0
921270.0,3,0,0.0,0,0,0,0.0,1,0.0
785996.0,3,0,0.0,0,0,0,0.0,1,0.0
926773.0,3,0,0.0,0,0,0,0.0,1,0.0
9264.0,3,0,0.0,0,0,0,0.0,1,0.0
788387.0,1,31,1.0,1,1,0,0.0139,24,0.0
612002.0,1,33,1.0,1,1,1,0.0417,19,0.0
165078.0,2,19,1.0,1,1,1,0.0694,12,0.0
7826.0,2,18,1.0,1,1,1,0.0694,17,0.0
782283.0,3,0,0.0,0,0,0,0.0,1,0.0
4219630.0,3,0,0.0,0,0,0,0.0,1,0.0
936466.0,3,0,0.0,0,0,0,0.0,1,0.0
790224.0,3,0,0.0,0,0,0,0.0,1,0.0
4217344.0,3,0,0.0,0,0,0,0.0,1,0.0
4214232.0,3,0,0.0,0,0,0,0.0,1,0.0
931582.0,3,0,0.0,0,0,0,0.0,1,0.0
792032.0,3,0,0.0,0,0,0,0.0,1,0.0
936004.0,3,0,0.0,0,0,0,0.0,1,0.0
621502.0,1,15,1.0,1,1,0,0.0139,11,0.0
788228.0,2,9,1.0,1,1,0,0.0556,7,0.0
791414.0,2,21,1.0,1,1,1,0.0694,19,0.0
778138.0,2,29,1.0,1,1,4,0.0556,14,0.0
188486.0,2,102,1.75,1,3,14,0.0694,54,0.0
7730.0,2,66,1.0,1,1,18,0.0833,38,0.0
168520.0,2,21,1.0,1,1,3,0.0694,14,0.0
788113.0,2,6,1.0,1,1,0,0.0556,8,0.0
165436.0,3,19,0.0,0,0,0,0.0,19,0.0
